City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
375,La Libertad,EC,73.85,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
377,Lima,PE,66.45,clear sky,-12.0432,-77.0282,Hotel Kamana
385,Werda,BW,73.62,clear sky,-25.2667,23.2833,
386,Hirara,JP,69.66,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
387,Port Lincoln,AU,68.02,clear sky,-34.7333,135.8667,Port Lincoln Hotel
388,Muisne,EC,74.97,overcast clouds,0.6,-80.0333,Quinta Samay
390,Vondrozo,MG,74.21,overcast clouds,-22.8167,47.2833,
392,Carutapera,BR,75.07,overcast clouds,-1.195,-46.02,Lidera
395,Ilhabela,BR,72.0,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
397,Coahuayana,MX,69.26,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
402,Tomatlan,MX,64.67,clear sky,19.9333,-105.25,El Salvial
403,Houston,US,73.8,mist,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
404,Puerto El Triunfo,SV,75.0,scattered clouds,13.2833,-88.55,Hotel Jardin
405,Ibra,OM,73.81,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
408,Galle,LK,79.83,overcast clouds,6.0367,80.217,Amangalla
410,Sinnamary,GF,74.89,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
411,Pochutla,MX,75.02,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
412,Caravelas,BR,72.61,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
416,Da Nang,VN,71.58,broken clouds,16.0678,108.2208,Grand Mercure Danang
417,Tautira,PF,79.97,few clouds,-17.7333,-149.15,Pension Oaoa
419,Coquimbo,CL,60.53,few clouds,-29.9533,-71.3436,Hotel San Juan
420,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
426,Cartagena,CO,78.42,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
428,Porto Novo,BJ,73.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
429,Chicama,PE,63.14,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
435,San Cristobal,VE,63.39,broken clouds,7.7669,-72.225,Pirineos
436,Bongandanga,CD,75.61,broken clouds,1.5,21.05,
437,Carupano,VE,73.63,few clouds,10.6678,-63.2585,Hotel La dorada
438,Chabua,IN,69.75,haze,27.4825,95.1736,Biru Rupam Hotel
439,Matamba,TZ,61.81,broken clouds,-8.9833,33.9667,Lena blumen lodge
441,Bubaque,GW,78.1,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
446,Marsassoum,SN,62.69,broken clouds,12.8275,-15.9806,Djinoubor keur Samba ba
448,Kundian,PK,61.63,clear sky,32.4587,71.4775,AL YOUSAF ISHTAM & PROPERTY ADVISIOR
452,Ahipara,NZ,67.73,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
456,America Dourada,BR,67.5,overcast clouds,-11.4553,-41.4361,Cantinho das araras
459,Pilar,BR,73.33,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
463,Santiago,CL,69.26,clear sky,-33.4569,-70.6483,Hotel Panamericano
464,Pokhara,NP,64.35,few clouds,28.2333,83.9833,OYO 170 Hotel View Point
468,Kruisfontein,ZA,76.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
470,Varzea Da Palma,BR,66.76,overcast clouds,-17.5981,-44.7308,Casa Fernandes
475,Knysna,ZA,77.85,clear sky,-34.0363,23.0471,Protea by Marriott Hotel Knysna Quays
476,Qiongshan,CN,64.38,overcast clouds,20.0058,110.3542,Sun City Restaurant
477,Pimentel,PE,68.29,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
481,Miramar,US,77.0,clear sky,25.9873,-80.2323,Stadium Hotel
482,Hualmay,PE,69.08,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
483,Santa Maria,BR,69.24,overcast clouds,-29.6842,-53.8069,Hotel Morotin
